P,T,gt_mol_frac,gt_wt_frac,gt_vol_frac,Mg,Mn,Fe,Ca
5.153846153846153,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.846153846153846,468.9655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1923076923076925,468.9655172413793,0.0002102474217080839,0.0002624546902436314,0.00016870549975643904,0.010779515363145682,0.2531732875409396,0.4086463039702348,0.3274008931256798
6.538461538461538,468.9655172413793,0.0005253714121186315,0.0006553901692153624,0.0004232634027840648,0.010724492151437847,0.24180978358127858,0.412972616855545,0.33449310741173854
6.884615384615384,468.9655172413793,0.0008820239088020224,0.001099527621950544,0.0007131771615083073,0.010704373899588417,0.23072068884663222,0.4167975486585732,0.341777388595206
7.230769230769231,468.9655172413793,0.0012950086572150676,0.0016132447380114016,0.0010505502754725674,0.010680537508667735,0.21871961864145673,0.4216070113672031,0.3489928324826724
7.576923076923077,468.9655172413793,0.0017709973654940541,0.0022046439332338067,0.0014410918747747561,0.010671573880808511,0.20641748459363204,0.4266034767483508,0.3563074647772087
7.923076923076923,468.9655172413793,0.0023223872988574618,0.002889029510088341,0.0018951471795580837,0.010663822789683057,0.19339891321786898,0.4323055790547191,0.3636316849377289
8.26923076923077,468.9655172413793,0.002963344558973339,0.0036837105674794226,0.0024248002664999714,0.010680179922241951,0.18040285501967104,0.437746069068435,0.3711708959896519
8.615384615384615,468.9655172413793,0.003731111521091666,0.004634764618617819,0.003060983075682272,0.01069191988532992,0.16652648673459203,0.44406457195520993,0.3787170214248681
8.961538461538462,468.9655172413793,0.004650461903326315,0.005772590461419316,0.003824723699174144,0.010718010586831899,0.15237926613841396,0.4504685914334249,0.38643413184132924
9.307692307692307,468.9655172413793,0.005774097665894824,0.007161790951416277,0.004760506077263561,0.010759785347038548,0.13800011598298992,0.4568565143109168,0.3943835843590548
9.653846153846153,468.9655172413793,0.007189529308024688,0.008910560009648754,0.005941646155001792,0.01080605457311178,0.1230578909434905,0.46370103794128814,0.4024350165421094
10.0,468.9655172413793,0.009050336741601024,0.011208013765083338,0.007497236763652523,0.010857332415427941,0.1074932422116247,0.47092937633160614,0.41072004904134113
1.0,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3461538461538463,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6923076923076923,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0384615384615383,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3846153846153846,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.730769230769231,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0769230769230766,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.423076923076923,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.769230769230769,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.115384615384615,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.461538461538462,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8076923076923075,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.153846153846153,493.1034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,493.1034482758621,0.00043039262218224055,0.000540948674286949,0.0003352336230946579,0.016015020078833396,0.2526476361502666,0.48489892038087035,0.24643842339002972
5.846153846153846,493.1034482758621,0.0015459511770136325,0.0019365735019453547,0.0012123852400283271,0.015641964828326742,0.21352413980971033,0.4905795739684772,0.2802543213934858
6.1923076923076925,493.1034482758621,0.0019246500947567677,0.002409609636743774,0.0015218496122881133,0.015474504816922084,0.20190669273970194,0.49615226048534455,0.28646654195803145
6.538461538461538,493.1034482758621,0.0023430737618915865,0.002931693936272778,0.0018638599004128945,0.015393916448236192,0.1916998985934413,0.5000612453518666,0.292844939606456
6.884615384615384,493.1034482758621,0.0028304965191447247,0.0035394025186959955,0.002262615113090022,0.015336897187510246,0.18112218889696144,0.5042460264372065,0.2992948874783219
7.230769230769231,493.1034482758621,0.003417733251747998,0.004271179389518896,0.0027431448511235643,0.015268529586033969,0.16931374863575424,0.5098808074811544,0.3055369142970572
7.576923076923077,493.1034482758621,0.004084202823393535,0.005100852314508291,0.0032899257902180615,0.015259826989105683,0.15827504561616104,0.514441027975739,0.3120240994189943
7.923076923076923,493.1034482758621,0.004894175360361744,0.006108687279942909,0.00395530451545983,0.015249236038617713,0.1463249670882818,0.5199862069330162,0.3184395899400842
8.26923076923077,493.1034482758621,0.005862085976199283,0.007312071483558112,0.004751886645354686,0.015262762599414545,0.13421632598994118,0.5255669427190519,0.3249539686915923
8.615384615384615,493.1034482758621,0.007066059700002314,0.008808216294203128,0.005744119276052125,0.015284878576921512,0.12153300171389932,0.5316825922873691,0.33149952742181
8.961538461538462,493.1034482758621,0.008541182929823926,0.01064012212524653,0.00696215990968657,0.015335721396734274,0.10887354451948732,0.5375855367919843,0.33820519729179416
9.307692307692307,493.1034482758621,0.010444042440012713,0.0130017575406591,0.008535414508501588,0.015403478677646272,0.09591298954166753,0.5436549454855535,0.3450285862951327
9.653846153846153,493.1034482758621,0.012904076894660282,0.01605287557384978,0.010572803635075156,0.015502619479743187,0.08308965086747237,0.5493364446115289,0.3520712850412555
10.0,493.1034482758621,0.01631766570295251,0.02028466324460846,0.013403620365641985,0.015615316542188819,0.06989251881741324,0.555237466774579,0.359254697865819
1.0,517.2413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3461538461538463,517.2413793103449,4.749267745239272e-05,6.080774604045148e-05,3.297391897449165e-05,0.03451215671529483,0.3132342308599086,0.6307263955104541,0.021527216914342576
1.6923076923076923,517.2413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0384615384615383,517.2413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3846153846153846,517.2413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.730769230769231,517.2413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0769230769230766,517.2413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.423076923076923,517.2413793103449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
